date,code,action,price,shares,amount,fee
2025-07-24,600276,BUY,57.44,1000,57440.0,14.93
2025-07-24,000725,BUY,4.1,15000,61500.0,15.98
2025-07-25,600036,EXIT,44.84,4000,179360.0,136.31
2025-07-25,600276,BUY,57.5,1000,57500.0,14.96
2025-07-25,000725,BUY,4.13,11800,48734.0,12.67
2025-07-25,300750,BUY,285.2,400,114080.0,29.66
2025-07-25,600585,BUY,25.25,500,12625.0,5.13
2025-07-29,601857,REDUCE,8.59,10900,93631.0,71.17
2025-07-29,300750,BUY,286.7,200,57340.0,14.91
2025-07-29,000725,BUY,4.09,800,3272.0,5.03
2025-07-30,600276,BUY,63.81,300,19143.0,5.19
2025-07-30,600585,BUY,24.05,600,14430.0,5.14
2025-07-30,000725,BUY,4.1,100,410.0,5.0
2025-07-31,000725,BUY,4.08,200,816.0,5.01
2025-08-05,601857,REDUCE,8.47,5500,46585.0,35.41
2025-08-06,601857,REDUCE,8.59,2700,23193.0,17.63
2025-08-07,601857,REDUCE,8.62,1400,12068.0,11.15
2025-08-08,603259,BUY,90.3,600,54180.0,14.08
2025-08-11,603259,BUY,90.8,300,27240.0,7.08
2025-08-12,601857,REDUCE,8.6,700,6020.0,8.07
2025-08-12,600585,BUY,24.41,200,4882.0,5.05
2025-08-13,601857,BUY,8.75,200,1750.0,5.02
2025-08-15,601857,EXIT,8.67,900,7803.0,8.98
2025-08-22,000725,BUY,4.04,300,1212.0,5.01
2025-08-26,000725,BUY,4.15,300,1245.0,5.01
2025-08-26,000001,BUY,12.45,400,4980.0,5.05
2025-08-28,000001,EXIT,12.09,15100,182559.0,138.75
2025-08-28,600585,BUY,24.68,2500,61700.0,16.05
2025-08-28,000858,BUY,126.61,900,113949.0,29.63
2025-08-29,600585,BUY,24.69,200,4938.0,5.05
2025-09-01,600585,BUY,24.49,100,2449.0,5.02
2025-09-02,603259,TAKE_PROFIT,111.0,500,55500.0,42.19
2025-09-02,000858,BUY,128.41,400,51364.0,13.35
2025-09-02,600585,BUY,24.31,100,2431.0,5.02
2025-09-03,600276,TAKE_PROFIT,68.8,1400,96320.0,73.2
2025-09-03,603259,BUY,111.72,500,55860.0,14.52
2025-09-03,000725,BUY,4.12,600,2472.0,5.02
2025-09-03,000858,BUY,129.0,200,25800.0,6.71
2025-09-03,000333,BUY,76.55,100,7655.0,5.08
2025-09-04,600276,TAKE_PROFIT,71.27,700,49889.0,37.91
2025-09-04,603259,BUY,112.27,400,44908.0,11.68
2025-09-04,000333,BUY,75.98,100,7598.0,5.08
2025-09-05,601318,REDUCE,57.5,1600,92000.0,69.92
2025-09-05,603259,BUY,101.93,400,40772.0,10.6
2025-09-05,600276,BUY,69.0,700,48300.0,12.56
2025-09-08,000725,BUY,4.11,100,411.0,5.0
2025-09-09,601318,REDUCE,57.76,800,46208.0,35.11
2025-09-09,600276,BUY,72.17,700,50519.0,13.14
2025-09-09,000725,BUY,4.12,100,412.0,5.0
2025-09-11,601318,REDUCE,57.9,400,23160.0,17.6
2025-09-11,600276,BUY,66.58,300,19974.0,5.2
2025-09-15,601318,REDUCE,57.65,200,11530.0,10.88
2025-09-15,600276,BUY,68.85,200,13770.0,5.14
2025-09-16,601318,REDUCE,57.35,100,5735.0,7.93
2025-09-16,300750,TAKE_PROFIT,356.11,200,71222.0,54.13
2025-09-16,600276,BUY,69.1,100,6910.0,5.07
2025-09-16,000333,BUY,75.13,800,60104.0,15.63
2025-09-17,601318,REDUCE,56.66,100,5666.0,7.89
2025-09-17,600030,EXIT,29.29,6500,190385.0,144.69
2025-09-17,300750,TAKE_PROFIT,356.8,200,71360.0,54.23
2025-09-19,601318,EXIT,55.29,100,5529.0,7.82
2025-09-23,600585,EXIT,22.99,4200,96558.0,73.39
2025-09-23,000858,EXIT,122.01,1500,183015.0,139.09
2025-10-09,000725,BUY,4.17,100,417.0,5.0
2025-10-13,000333,EXIT,71.38,1000,71380.0,54.24
2025-10-13,600585,BUY,23.6,5400,127440.0,33.13
2025-10-15,603259,EXIT,96.1,1800,172980.0,131.46
2025-10-15,600276,EXIT,64.2,2800,179760.0,136.62
2025-10-17,000725,EXIT,4.07,47400,192918.0,146.62
2025-10-17,600585,BUY,23.91,2400,57384.0,14.92
2025-10-23,600585,EXIT,23.63,7800,184314.0,140.08
2025-10-27,603259,BUY,110.6,1100,121660.0,31.63
2025-10-27,600030,BUY,30.25,4100,124025.0,32.25
2025-10-28,600030,BUY,29.98,2000,59960.0,15.59
2025-10-29,603259,BUY,103.25,600,61950.0,16.11
2025-10-29,000333,BUY,74.25,1600,118800.0,30.89
2025-10-30,600030,BUY,30.19,100,3019.0,5.03
2025-10-30,600900,BUY,28.29,4400,124476.0,32.36
2025-10-31,603259,STOP_LOSS,97.41,1700,165597.0,125.86
2025-10-31,600900,BUY,28.46,2100,59766.0,15.54
2025-10-31,000333,BUY,75.2,800,60160.0,15.64
2025-10-31,000725,BUY,4.1,30200,123820.0,32.19
2025-11-03,600030,EXIT,29.35,6200,181970.0,138.29
2025-11-03,000725,EXIT,4.06,30200,122612.0,93.19
2025-11-03,601857,BUY,9.19,13400,123146.0,32.02
2025-11-04,601857,BUY,9.54,6000,57240.0,14.88
2025-11-06,601857,BUY,9.49,100,949.0,5.01
2025-11-07,601318,BUY,58.78,2100,123438.0,32.09
2025-11-10,601318,BUY,58.85,1000,58850.0,15.3
2025-11-13,600900,BUY,28.62,100,2862.0,5.03
2025-11-17,600036,BUY,43.1,2900,124990.0,32.5
2025-11-18,600036,BUY,42.56,1400,59584.0,15.5
2025-11-27,000001,BUY,11.66,10700,124762.0,32.44
2025-11-28,000001,BUY,11.67,5300,61851.0,16.08
2025-12-04,000001,EXIT,11.55,16000,184800.0,140.45
2025-12-10,600900,EXIT,27.93,6600,184338.0,140.09
2025-12-11,600036,EXIT,41.86,4300,179998.0,136.8
2025-12-17,300750,EXIT,376.45,200,75290.0,57.22
2025-12-19,000001,BUY,11.63,10900,126767.0,32.96
