date,code,action,price,shares,amount,fee
2023-10-18,603259,BUY,88.08,500,44040.0,11.45
2023-10-19,603259,BUY,86.9,100,8690.0,5.09
2023-10-26,600900,EXIT,21.85,6300,137655.0,104.62
2023-11-02,600900,BUY,22.77,4100,93357.0,24.27
2023-11-03,600900,BUY,22.76,2000,45520.0,11.84
2023-11-21,600900,BUY,22.62,100,2262.0,5.02
2023-11-21,000725,BUY,3.95,23700,93615.0,24.34
2023-11-22,000725,BUY,3.93,11900,46767.0,12.16
2023-11-22,600030,BUY,22.31,4100,91471.0,23.78
2023-11-27,603259,EXIT,83.5,1600,133600.0,101.54
2023-12-05,600030,EXIT,21.34,4100,87494.0,66.49
2023-12-06,600276,EXIT,45.22,3100,140182.0,106.54
2023-12-06,000725,EXIT,3.79,35600,134924.0,102.54
2024-01-09,000333,BUY,54.71,1600,87536.0,22.76
2024-01-10,000333,BUY,55.17,800,44136.0,11.47
2024-01-12,000333,BUY,54.9,100,5490.0,5.05
2024-01-16,601857,BUY,7.31,12600,92106.0,23.95
2024-01-17,601857,BUY,7.3,6300,45990.0,11.96
2024-01-18,601857,BUY,7.22,200,1444.0,5.01
2024-01-23,601857,EXIT,7.01,19100,133891.0,101.76
2024-01-25,601857,BUY,7.3,12600,91980.0,23.92
2024-01-29,601857,BUY,8.39,4000,33560.0,8.73
2024-01-29,600036,BUY,31.2,3000,93600.0,24.34
2024-01-30,601857,BUY,8.32,200,1664.0,5.02
2024-01-31,600036,BUY,30.92,1500,46380.0,12.06
2024-02-02,601857,BUY,8.1,300,2430.0,5.02
2024-02-05,601857,BUY,8.06,100,806.0,5.01
2024-02-06,600036,BUY,30.71,100,3071.0,5.03
2024-02-07,601857,BUY,8.1,200,1620.0,5.02
2024-02-07,600585,BUY,23.74,3900,92586.0,24.08
2024-02-08,600585,BUY,23.83,1900,45277.0,11.77
2024-02-20,601318,BUY,42.65,2200,93830.0,24.4
2024-02-21,601318,BUY,42.18,1100,46398.0,12.06
2024-02-21,600585,BUY,24.39,100,2439.0,5.02
2024-02-22,600030,BUY,21.27,3400,72318.0,18.8
2024-02-23,601857,TAKE_PROFIT,9.29,8700,80823.0,61.43
2024-02-23,600585,BUY,24.65,100,2465.0,5.02
2024-02-23,000001,BUY,10.88,7200,78336.0,20.36
2024-02-26,601857,BUY,9.0,200,1800.0,5.02
2024-02-28,000725,BUY,3.99,100,399.0,5.0
2024-03-05,601857,TAKE_PROFIT,9.05,4400,39820.0,30.27
2024-03-05,000001,BUY,10.3,3700,38110.0,9.91
2024-03-05,000725,BUY,4.04,400,1616.0,5.02
2024-03-06,000333,TAKE_PROFIT,64.9,1200,77880.0,59.19
2024-03-06,601857,TAKE_PROFIT,9.03,2200,19866.0,15.13
2024-03-06,000725,BUY,4.07,12000,48840.0,12.7
2024-03-06,601318,BUY,42.79,100,4279.0,5.04
2024-03-06,300750,BUY,162.58,200,32516.0,8.46
2024-03-07,000333,BUY,64.45,100,6445.0,5.06
2024-03-07,000725,BUY,4.05,1300,5265.0,5.05
2024-03-08,000333,TAKE_PROFIT,65.87,700,46109.0,35.04
2024-03-08,601857,TAKE_PROFIT,9.05,1100,9955.0,10.08
2024-03-08,000725,BUY,4.04,12100,48884.0,12.71
2024-03-08,600585,BUY,24.13,100,2413.0,5.02
2024-03-11,000333,TAKE_PROFIT,66.09,300,19827.0,15.11
2024-03-11,000725,BUY,4.05,6000,24300.0,6.32
2024-03-12,000725,BUY,4.09,100,409.0,5.0
2024-03-21,600585,EXIT,22.73,6100,138653.0,105.38
2024-03-21,300750,BUY,189.51,200,37902.0,9.86
2024-03-21,601857,BUY,9.08,5300,48124.0,12.51
2024-03-21,600276,BUY,45.85,1100,50435.0,13.11
2024-03-22,601857,BUY,9.11,200,1822.0,5.02
2024-03-25,601318,EXIT,40.45,3400,137530.0,104.53
2024-03-25,300750,BUY,185.57,200,37114.0,9.65
2024-03-25,600276,BUY,45.95,1000,45950.0,11.95
2024-03-25,601857,BUY,9.04,5200,47008.0,12.22
2024-03-26,600030,STOP_LOSS,19.41,3400,65994.0,50.16
2024-03-26,600276,BUY,46.1,1000,46100.0,11.99
2024-03-26,601857,BUY,9.29,2900,26941.0,7.01
2024-03-29,000725,BUY,4.04,100,404.0,5.0
2024-04-08,600900,EXIT,24.41,6200,151342.0,115.02
2024-04-08,000333,BUY,66.72,700,46704.0,12.15
2024-04-08,000725,BUY,4.36,2000,8720.0,5.09
2024-04-08,000858,BUY,152.0,600,91200.0,23.71
2024-04-09,600900,BUY,25.2,100,2520.0,5.03
2024-04-11,000725,BUY,4.23,300,1269.0,5.01
2024-04-16,601857,TAKE_PROFIT,10.6,7400,78440.0,59.61
2024-04-16,000333,BUY,66.78,700,46746.0,12.16
2024-04-16,600900,BUY,25.81,1200,30972.0,8.05
2024-04-16,000725,BUY,4.3,100,430.0,5.0
2024-04-17,601857,TAKE_PROFIT,10.75,3700,39775.0,30.23
2024-04-17,000725,BUY,4.22,600,2532.0,5.03
2024-04-17,000333,BUY,68.0,300,20400.0,5.3
2024-04-17,600900,BUY,25.85,600,15510.0,5.16
2024-04-18,601857,TAKE_PROFIT,10.72,1800,19296.0,14.84
2024-04-18,000001,BUY,10.58,2000,21160.0,5.5
2024-04-19,601857,TAKE_PROFIT,10.69,900,9621.0,9.91
2024-04-19,600276,EXIT,42.0,3100,130200.0,98.95
2024-04-19,000001,BUY,10.71,900,9639.0,5.1
2024-04-19,600900,BUY,25.9,1900,49210.0,12.79
2024-04-19,002594,BUY,212.19,300,63657.0,16.55
2024-04-22,601857,TAKE_PROFIT,10.8,500,5400.0,7.75
2024-04-22,600900,BUY,25.93,800,20744.0,5.4
2024-04-23,601857,BUY,10.54,200,2108.0,5.02
2024-05-20,600036,TAKE_PROFIT,36.85,2300,84755.0,64.42
2024-05-20,000858,BUY,156.4,300,46920.0,12.2
2024-05-20,002594,BUY,218.48,100,21848.0,5.68
2024-05-20,600900,BUY,25.74,600,15444.0,5.15
2024-05-22,000725,BUY,4.37,100,437.0,5.0
2024-05-23,000333,EXIT,65.4,2100,137340.0,104.38
2024-05-23,600036,BUY,35.9,1400,50260.0,13.06
2024-05-23,600900,BUY,26.05,700,18235.0,5.18
2024-05-23,601318,BUY,44.92,1500,67380.0,17.51
2024-05-28,601857,BUY,10.25,100,1025.0,5.01
2024-05-29,000725,EXIT,4.1,35200,144320.0,109.68
2024-05-29,601857,BUY,10.46,4700,49162.0,12.78
2024-05-29,600585,BUY,24.55,3800,93290.0,24.25
2024-05-30,601857,BUY,10.36,200,2072.0,5.02
2024-06-04,000858,EXIT,145.98,900,131382.0,99.85
2024-06-04,002594,BUY,236.9,200,47380.0,12.32
2024-06-04,601857,BUY,9.96,5000,49800.0,12.95
2024-06-04,600585,BUY,24.25,1300,31525.0,8.2
2024-06-05,600585,BUY,24.53,100,2453.0,5.02
2024-06-11,300750,EXIT,189.0,600,113400.0,86.18
2024-06-12,600036,EXIT,33.35,3700,123395.0,93.78
2024-06-14,601318,STOP_LOSS,41.19,1500,61785.0,46.96
2024-06-17,000001,EXIT,10.13,13800,139794.0,106.25
2024-06-19,601857,EXIT,9.76,10700,104432.0,79.37
2024-06-24,600585,BUY,23.53,800,18824.0,5.19
2024-06-25,600585,EXIT,23.13,6000,138780.0,105.48
2024-06-25,600036,BUY,34.07,2800,95396.0,24.8
2024-07-03,601318,BUY,42.18,2300,97014.0,25.22
2024-07-04,600585,BUY,24.05,4000,96200.0,25.01
2024-07-05,600585,BUY,23.9,2000,47800.0,12.43
2024-07-08,600036,EXIT,33.85,2800,94780.0,72.04
2024-07-08,601318,EXIT,40.9,2300,94070.0,71.5
2024-07-11,600036,BUY,33.08,2900,95932.0,24.94
2024-07-12,600036,EXIT,33.01,2900,95729.0,72.75
2024-07-15,601857,BUY,10.24,9700,99328.0,25.82
2024-07-15,601318,BUY,42.6,2300,97980.0,25.48
2024-07-16,601857,BUY,10.44,4600,48024.0,12.49
2024-07-17,600900,TAKE_PROFIT,30.75,2900,89175.0,67.77
2024-07-17,601318,EXIT,41.25,2300,94875.0,72.11
2024-07-18,600900,TAKE_PROFIT,30.75,1500,46125.0,35.05
2024-07-18,601857,EXIT,10.12,14300,144716.0,109.99
2024-07-18,601318,BUY,42.19,2300,97037.0,25.23
2024-07-19,600900,TAKE_PROFIT,30.5,700,21350.0,16.23
2024-07-22,002594,TAKE_PROFIT,264.1,300,79230.0,60.22
2024-07-22,600900,BUY,30.58,1600,48928.0,12.72
2024-07-23,002594,TAKE_PROFIT,264.99,100,26499.0,20.13
2024-07-23,600585,BUY,24.37,100,2437.0,5.02
2024-07-23,600900,BUY,30.4,1600,48640.0,12.65
2024-07-24,600900,BUY,30.67,800,24536.0,6.38
2024-07-24,002594,BUY,253.23,100,25323.0,6.58
2024-07-24,600030,BUY,19.07,5200,99164.0,25.78
2024-07-25,600030,BUY,18.84,2600,48984.0,12.74
2024-07-29,601318,EXIT,41.08,2300,94484.0,71.8
2024-07-29,002594,BUY,252.93,100,25293.0,6.57
2024-08-06,002594,EXIT,234.0,400,93600.0,71.14
2024-08-06,600585,EXIT,23.2,6100,141520.0,107.56
2024-08-08,600276,BUY,42.11,2300,96853.0,25.18
2024-08-09,600276,BUY,42.7,1100,46970.0,12.21
2024-08-29,600030,EXIT,18.5,7800,144300.0,109.67
2024-08-30,600900,EXIT,29.25,4800,140400.0,106.7
2024-09-02,600030,BUY,19.19,5000,95950.0,24.95
2024-09-03,601318,BUY,43.61,2200,95942.0,24.95
2024-09-04,601318,BUY,43.22,1100,47542.0,12.37
2024-09-04,600030,BUY,19.05,2500,47625.0,12.39
2024-09-05,601318,BUY,42.63,100,4263.0,5.04
2024-09-06,600030,BUY,19.44,100,1944.0,5.02
2024-09-06,000333,BUY,63.6,1500,95400.0,24.8
2024-09-10,000333,EXIT,60.48,1500,90720.0,68.95
2024-09-12,300750,BUY,188.0,400,75200.0,19.55
2024-09-13,300750,BUY,188.88,200,37776.0,9.82
2024-09-18,002594,BUY,255.02,300,76506.0,19.9
2024-09-19,002594,BUY,259.01,100,25901.0,6.74
2024-09-19,000333,BUY,62.3,1500,93450.0,24.29
2024-09-20,000333,BUY,64.91,700,45437.0,11.81
2024-09-20,002594,BUY,255.38,100,25538.0,6.64
2024-09-24,603259,BUY,42.0,2300,96600.0,25.12
2024-09-25,603259,BUY,42.95,1000,42950.0,11.17
2024-09-30,600030,TAKE_PROFIT,27.2,3800,103360.0,78.55
2024-09-30,601318,TAKE_PROFIT,54.48,1700,92616.0,70.39
2024-09-30,300750,TAKE_PROFIT,233.02,200,46604.0,35.42
2024-09-30,000333,BUY,73.16,100,7316.0,5.07
2024-10-08,600276,TAKE_PROFIT,57.53,1700,97801.0,74.33
2024-10-08,600030,TAKE_PROFIT,29.92,1900,56848.0,43.2
2024-10-08,601318,TAKE_PROFIT,62.8,800,50240.0,38.18
2024-10-08,300750,TAKE_PROFIT,296.0,200,59200.0,44.99
2024-10-08,002594,TAKE_PROFIT,338.04,200,67608.0,51.38
2024-10-08,000333,TAKE_PROFIT,83.67,1100,92037.0,69.95
2024-10-08,603259,TAKE_PROFIT,57.6,1600,92160.0,70.04
2024-10-09,600276,TAKE_PROFIT,55.0,800,44000.0,33.44
2024-10-09,600030,TAKE_PROFIT,31.0,900,27900.0,21.21
2024-10-09,601318,TAKE_PROFIT,60.0,400,24000.0,18.24
2024-10-09,002594,TAKE_PROFIT,315.0,100,31500.0,23.95
2024-10-09,000333,TAKE_PROFIT,78.4,600,47040.0,35.75
2024-10-09,603259,TAKE_PROFIT,57.53,800,46024.0,34.98
2024-10-09,000001,BUY,12.63,10300,130089.0,33.82
2024-10-09,000725,BUY,4.65,28200,131130.0,34.09
2024-10-10,600030,TAKE_PROFIT,29.1,500,14550.0,12.43
2024-10-10,601318,TAKE_PROFIT,56.63,200,11326.0,10.77
2024-10-10,002594,TAKE_PROFIT,310.0,100,31000.0,23.56
2024-10-10,000333,TAKE_PROFIT,75.95,300,22785.0,17.32
2024-10-10,603259,TAKE_PROFIT,56.08,400,22432.0,17.05
2024-10-10,000725,BUY,4.36,14500,63220.0,16.44
2024-10-10,000001,BUY,11.62,5400,62748.0,16.32
2024-10-10,600276,BUY,51.68,1200,62016.0,16.12
2024-10-11,600030,TAKE_PROFIT,27.2,200,5440.0,7.77
2024-10-11,601318,TAKE_PROFIT,57.8,100,5780.0,7.95
2024-10-11,000333,TAKE_PROFIT,78.0,100,7800.0,8.98
2024-10-11,603259,TAKE_PROFIT,53.98,200,10796.0,10.51
2024-10-11,600276,BUY,52.13,1200,62556.0,16.27
2024-10-11,000858,BUY,150.0,800,120000.0,31.2
