date,cash,market_value,equity,positions
2024-07-15,2089.16,1051013.0,1053102.16,4
2024-07-16,1040.15,1052958.0,1053998.15,4
2024-07-17,1040.15,1055388.0,1056428.15,4
2024-07-18,3604.07,1059676.0,1063280.07,4
2024-07-19,1088.04,1055796.0,1056884.04,4
2024-07-22,1088.04,1049173.0,1050261.04,4
2024-07-23,1088.04,1033023.0,1034111.04,4
2024-07-24,1088.04,1029570.0,1030658.04,4
2024-07-25,1088.04,1026998.0,1028086.04,4
2024-07-26,1088.04,1023554.0,1024642.04,4
2024-07-29,83185.6,937063.0,1020248.6,3
2024-07-30,83185.6,931242.0,1014427.6,3
2024-07-31,1808.45,1017019.0,1018827.45,4
2024-08-01,1808.45,1007893.0,1009701.45,4
2024-08-02,1808.45,991619.0,993427.45,4
2024-08-05,1808.45,983172.0,984980.45,4
2024-08-06,480185.99,501783.0,981968.99,2
2024-08-07,382648.63,600418.0,983066.63,2
2024-08-08,188892.26,798056.0,986948.26,3
2024-08-09,90656.73,889654.0,980310.73,3
2024-08-12,90656.73,893755.0,984411.73,3
2024-08-13,90656.73,890747.0,981403.73,3
2024-08-14,90656.73,889740.0,980396.73,3
2024-08-15,90656.73,899708.0,990364.73,3
2024-08-16,90656.73,898388.0,989044.73,3
2024-08-19,90656.73,891765.0,982421.73,3
2024-08-20,90656.73,890267.0,980923.73,3
2024-08-21,90656.73,891637.0,982293.73,3
2024-08-22,90656.73,905469.0,996125.73,3
2024-08-23,90656.73,905028.0,995684.73,3
2024-08-26,90656.73,892752.0,983408.73,3
2024-08-27,90656.73,894464.0,985120.73,3
2024-08-28,90656.73,893562.0,984218.73,3
2024-08-29,356854.27,628768.0,985622.27,2
2024-08-30,678359.73,304497.0,982856.73,1
2024-09-02,482570.84,495894.0,978464.84,2
2024-09-03,290636.95,692750.0,983386.95,3
2024-09-04,98347.97,881079.0,979426.97,3
2024-09-05,89816.88,898139.0,987955.88,3
2024-09-06,3222.34,977816.0,981038.34,4
2024-09-09,3222.34,971226.0,974448.34,4
2024-09-10,81786.58,889640.0,971426.58,3
2024-09-11,81786.58,897103.0,978889.58,3
2024-09-12,6567.03,968353.0,974920.03,4
2024-09-13,6567.03,967225.0,973792.03,4
2024-09-18,6567.03,976618.0,983185.03,4
2024-09-19,6567.03,984434.0,991001.03,4
2024-09-20,6567.03,968154.0,974721.03,4
2024-09-23,6567.03,969096.0,975663.03,4
2024-09-24,6567.03,1019172.0,1025739.03,4
2024-09-25,6567.03,1033764.0,1040331.03,4
2024-09-26,6567.03,1094074.0,1100641.03,4
2024-09-27,1823.98,1167719.0,1169542.98,4
2024-09-30,200659.19,1079052.0,1279711.19,5
2024-10-08,630887.97,744969.0,1375856.97,5
2024-10-09,710598.73,621682.0,1332280.73,5
2024-10-10,602069.74,745308.0,1347377.74,5
2024-10-11,496848.02,811130.0,1307978.02,5
2024-10-14,357730.05,969746.0,1327476.05,5
2024-10-15,266323.7,1034363.0,1300686.7,5
2024-10-16,173375.52,1096100.0,1269475.52,5
2024-10-17,126563.35,1138878.0,1265441.35,5
2024-10-18,126563.35,1192467.0,1319030.35,5
2024-10-21,126563.35,1206565.0,1333128.35,5
2024-10-22,121537.3,1206532.0,1328069.3,5
