date,code,action,price,shares,amount,fee
2024-10-09,600276,TAKE_PROFIT,55.0,800,44000.0,33.44
2024-10-09,601318,TAKE_PROFIT,60.0,400,24000.0,18.24
2024-10-09,600030,TAKE_PROFIT,31.0,900,27900.0,21.21
2024-10-09,002594,TAKE_PROFIT,315.0,100,31500.0,23.95
2024-10-09,603259,TAKE_PROFIT,57.53,800,46024.0,34.98
2024-10-09,000333,TAKE_PROFIT,78.4,600,47040.0,35.75
2024-10-09,000001,TAKE_PROFIT,12.63,100,1263.0,5.64
2024-10-09,000725,BUY,4.65,14300,66495.0,17.28
2024-10-10,601318,TAKE_PROFIT,56.63,200,11326.0,10.77
2024-10-10,600030,TAKE_PROFIT,29.1,500,14550.0,12.43
2024-10-10,002594,TAKE_PROFIT,310.0,100,31000.0,23.56
2024-10-10,603259,TAKE_PROFIT,56.08,400,22432.0,17.05
2024-10-10,000333,TAKE_PROFIT,75.95,300,22785.0,17.32
2024-10-10,000001,BUY,11.62,5500,63910.0,16.62
2024-10-10,000725,BUY,4.36,3500,15260.0,5.15
2024-10-10,600276,BUY,51.68,1200,62016.0,16.12
2024-10-11,601318,TAKE_PROFIT,57.8,100,5780.0,7.95
2024-10-11,600030,TAKE_PROFIT,27.2,200,5440.0,7.77
2024-10-11,603259,TAKE_PROFIT,53.98,200,10796.0,10.51
2024-10-11,000333,TAKE_PROFIT,78.0,100,7800.0,8.98
2024-10-11,000001,BUY,12.0,5400,64800.0,16.85
2024-10-11,000725,BUY,4.35,100,435.0,5.0
2024-10-11,600276,BUY,52.13,1200,62556.0,16.27
2024-10-11,000858,BUY,150.0,800,120000.0,31.2
2024-10-14,601318,TAKE_PROFIT,58.39,100,5839.0,7.98
2024-10-14,600030,TAKE_PROFIT,27.97,100,2797.0,6.43
2024-10-14,603259,TAKE_PROFIT,51.95,100,5195.0,7.65
2024-10-14,000333,TAKE_PROFIT,77.03,100,7703.0,8.93
2024-10-14,600276,BUY,50.5,400,20200.0,5.25
2024-10-14,300750,BUY,249.99,200,49998.0,13.0
2024-10-14,002594,BUY,300.99,200,60198.0,15.65
2024-10-14,000001,BUY,11.98,5100,61098.0,15.88
2024-10-14,000858,BUY,151.0,400,60400.0,15.7
2024-10-14,000725,BUY,4.21,1000,4210.0,5.04
2024-10-15,600030,TAKE_PROFIT,27.0,100,2700.0,6.38
2024-10-15,603259,TAKE_PROFIT,51.92,100,5192.0,7.65
2024-10-15,002594,BUY,305.5,200,61100.0,15.89
2024-10-15,300750,BUY,249.81,200,49962.0,12.99
2024-10-16,002594,BUY,293.0,100,29300.0,7.62
2024-10-16,000333,BUY,74.7,800,59760.0,15.54
2024-10-16,000858,BUY,142.0,100,14200.0,5.14
2024-10-17,000333,BUY,75.24,800,60192.0,15.65
2024-10-17,603259,BUY,49.3,800,39440.0,10.25
2024-10-21,000725,BUY,4.19,200,838.0,5.01
2024-11-12,603259,TAKE_PROFIT,57.52,400,23008.0,17.48
2024-11-12,601318,BUY,58.4,300,17520.0,5.18
2024-11-13,603259,TAKE_PROFIT,57.57,200,11514.0,10.88
2024-11-13,600276,BUY,49.16,200,9832.0,5.1
2024-11-14,300750,TAKE_PROFIT,283.0,200,56600.0,43.02
2024-11-14,603259,BUY,56.19,1100,61809.0,16.07
2024-11-20,000001,BUY,11.67,100,1167.0,5.01
2024-11-25,002594,EXIT,283.0,600,169800.0,129.05
2024-11-25,000333,EXIT,70.11,1700,119187.0,90.58
2024-11-25,600585,BUY,25.3,4800,121440.0,31.57
2024-11-25,600036,BUY,36.7,3300,121110.0,31.49
2024-12-09,000001,BUY,11.63,100,1163.0,5.01
2024-12-09,603259,BUY,59.6,700,41720.0,10.85
2024-12-09,600036,BUY,37.59,100,3759.0,5.04
2024-12-11,600276,EXIT,47.86,3900,186654.0,141.86
2024-12-11,601318,BUY,55.61,1100,61171.0,15.9
2024-12-11,600036,BUY,38.54,1500,57810.0,15.03
2024-12-11,603259,BUY,57.49,1100,63239.0,16.44
2024-12-11,600030,BUY,31.43,100,3143.0,5.03
2024-12-16,601318,EXIT,53.71,1500,80565.0,61.23
2024-12-16,600030,TAKE_PROFIT,30.3,100,3030.0,6.55
2024-12-16,603259,BUY,56.21,100,5621.0,5.06
2024-12-16,600585,BUY,26.01,2400,62424.0,16.23
2024-12-16,600036,BUY,37.35,100,3735.0,5.04
2024-12-16,601857,BUY,8.26,1500,12390.0,5.12
2024-12-17,600585,EXIT,24.75,7200,178200.0,135.43
2024-12-17,300750,BUY,267.0,200,53400.0,13.88
