date,code,action,price,shares,amount,fee
2024-03-08,000333,TAKE_PROFIT,65.87,1200,79044.0,60.07
2024-03-08,600036,BUY,31.89,1100,35079.0,9.12
2024-03-08,601857,BUY,9.05,4800,43440.0,11.29
2024-03-08,000001,BUY,10.35,100,1035.0,5.01
2024-03-11,000333,TAKE_PROFIT,66.09,600,39654.0,30.14
2024-03-11,601857,BUY,9.1,4200,38220.0,9.93
2024-03-11,000001,BUY,10.38,100,1038.0,5.01
2024-04-08,600900,EXIT,24.41,12300,300243.0,228.18
2024-04-08,601857,TAKE_PROFIT,10.05,6800,68340.0,51.94
2024-04-08,000333,BUY,66.72,1500,100080.0,26.02
2024-04-08,300750,BUY,197.65,1000,197650.0,51.39
2024-04-09,601857,TAKE_PROFIT,10.23,3400,34782.0,26.44
2024-04-09,300750,BUY,194.0,400,77600.0,20.18
2024-04-09,000333,BUY,65.0,400,26000.0,6.76
2024-04-10,601857,BUY,10.06,200,2012.0,5.02
2024-04-11,601857,TAKE_PROFIT,10.24,1800,18432.0,14.4
2024-04-11,000333,BUY,64.95,200,12990.0,5.13
2024-04-12,601857,BUY,10.19,500,5095.0,5.05
2024-04-16,601857,TAKE_PROFIT,10.6,1200,12720.0,11.49
2024-04-16,000333,BUY,66.78,100,6678.0,5.07
2024-04-17,601857,TAKE_PROFIT,10.75,600,6450.0,8.29
2024-04-17,000333,BUY,68.0,100,6800.0,5.07
2024-04-18,601857,TAKE_PROFIT,10.72,300,3216.0,6.64
2024-04-18,000001,BUY,10.58,800,8464.0,5.08
2024-04-19,601857,TAKE_PROFIT,10.69,100,1069.0,5.54
2024-04-19,000001,BUY,10.71,100,1071.0,5.01
2024-04-22,601857,TAKE_PROFIT,10.8,100,1080.0,5.55
2024-04-22,000001,BUY,10.64,100,1064.0,5.01
2024-05-23,000333,EXIT,65.4,3000,196200.0,149.11
2024-05-23,300750,BUY,204.2,200,40840.0,10.62
2024-05-23,000001,BUY,11.53,4900,56497.0,14.68
2024-05-23,000858,BUY,155.0,600,93000.0,24.18
2024-05-24,000001,BUY,11.37,100,1137.0,5.01
2024-05-28,601857,BUY,10.25,500,5125.0,5.05
2024-06-04,000858,EXIT,145.98,600,87588.0,66.57
2024-06-04,601857,BUY,9.96,8600,85656.0,22.27
