date,code,action,price,shares,amount,fee
2024-07-29,601318,EXIT,41.08,2300,94484.0,71.8
2024-08-06,002594,EXIT,234.0,500,117000.0,88.92
2024-08-06,600585,EXIT,23.2,6100,141520.0,107.56
2024-08-08,600276,BUY,42.11,2300,96853.0,25.18
2024-08-09,600276,BUY,42.7,1100,46970.0,12.21
2024-08-26,600900,BUY,29.91,100,2991.0,5.03
2024-08-29,600030,EXIT,18.5,7800,144300.0,109.67
2024-08-30,600900,EXIT,29.25,4900,143325.0,108.92
2024-09-02,600030,BUY,19.19,5000,95950.0,24.95
2024-09-03,601318,BUY,43.61,2200,95942.0,24.95
2024-09-04,601318,BUY,43.22,1100,47542.0,12.37
2024-09-04,600030,BUY,19.05,2500,47625.0,12.39
2024-09-05,601318,BUY,42.63,100,4263.0,5.04
2024-09-05,600030,BUY,19.05,100,1905.0,5.02
2024-09-06,000333,BUY,63.6,1500,95400.0,24.8
2024-09-10,000333,EXIT,60.48,1500,90720.0,68.95
2024-09-12,300750,BUY,188.0,400,75200.0,19.55
2024-09-13,300750,BUY,188.88,200,37776.0,9.82
2024-09-18,002594,BUY,255.02,300,76506.0,19.9
2024-09-19,002594,BUY,259.01,100,25901.0,6.74
2024-09-19,000333,BUY,62.3,1500,93450.0,24.29
2024-09-20,000333,BUY,64.91,700,45437.0,11.81
2024-09-20,002594,BUY,255.38,100,25538.0,6.64
2024-09-24,603259,BUY,42.0,2300,96600.0,25.12
2024-09-25,603259,BUY,42.95,1100,47245.0,12.28
2024-09-30,600030,TAKE_PROFIT,27.2,3800,103360.0,78.55
2024-09-30,601318,TAKE_PROFIT,54.48,1700,92616.0,70.39
2024-09-30,300750,TAKE_PROFIT,233.02,200,46604.0,35.42
2024-09-30,000333,BUY,73.16,100,7316.0,5.07
2024-10-08,600276,TAKE_PROFIT,57.53,1700,97801.0,74.33
2024-10-08,600030,TAKE_PROFIT,29.92,1900,56848.0,43.2
2024-10-08,601318,TAKE_PROFIT,62.8,800,50240.0,38.18
2024-10-08,300750,TAKE_PROFIT,296.0,200,59200.0,44.99
2024-10-08,002594,TAKE_PROFIT,338.04,200,67608.0,51.38
2024-10-08,000333,TAKE_PROFIT,83.67,1100,92037.0,69.95
2024-10-08,603259,TAKE_PROFIT,57.6,1700,97920.0,74.42
2024-10-09,600276,TAKE_PROFIT,55.0,800,44000.0,33.44
2024-10-09,600030,TAKE_PROFIT,31.0,900,27900.0,21.21
2024-10-09,601318,TAKE_PROFIT,60.0,400,24000.0,18.24
2024-10-09,002594,TAKE_PROFIT,315.0,100,31500.0,23.95
2024-10-09,000333,TAKE_PROFIT,78.4,600,47040.0,35.75
2024-10-09,603259,TAKE_PROFIT,57.53,800,46024.0,34.98
2024-10-09,000001,BUY,12.63,10400,131352.0,34.15
2024-10-09,000725,BUY,4.65,28300,131595.0,34.22
2024-10-10,600030,TAKE_PROFIT,29.1,500,14550.0,12.43
2024-10-10,601318,TAKE_PROFIT,56.63,200,11326.0,10.77
2024-10-10,002594,TAKE_PROFIT,310.0,100,31000.0,23.56
2024-10-10,000333,TAKE_PROFIT,75.95,300,22785.0,17.32
2024-10-10,603259,TAKE_PROFIT,56.08,400,22432.0,17.05
2024-10-10,000001,BUY,11.62,5400,62748.0,16.32
2024-10-10,000725,BUY,4.36,14600,63656.0,16.55
2024-10-10,600276,BUY,51.68,1200,62016.0,16.12
2024-10-11,600030,TAKE_PROFIT,27.2,200,5440.0,7.77
2024-10-11,601318,TAKE_PROFIT,57.8,100,5780.0,7.95
2024-10-11,000333,TAKE_PROFIT,78.0,100,7800.0,8.98
2024-10-11,603259,TAKE_PROFIT,53.98,200,10796.0,10.51
2024-10-11,600276,BUY,52.13,1200,62556.0,16.27
2024-10-11,000858,BUY,150.0,800,120000.0,31.2
2024-10-14,600030,TAKE_PROFIT,27.97,100,2797.0,6.43
2024-10-14,601318,TAKE_PROFIT,58.39,100,5839.0,7.98
2024-10-14,000333,TAKE_PROFIT,77.03,100,7703.0,8.93
2024-10-14,603259,TAKE_PROFIT,51.95,100,5195.0,7.65
2024-10-14,600276,BUY,50.5,400,20200.0,5.25
2024-10-14,300750,BUY,249.99,200,49998.0,13.0
2024-10-14,002594,BUY,300.99,200,60198.0,15.65
2024-10-14,000001,BUY,11.98,200,2396.0,5.02
2024-10-14,000858,BUY,151.0,400,60400.0,15.7
2024-10-14,000725,BUY,4.21,2100,8841.0,5.09
2024-10-15,600030,TAKE_PROFIT,27.0,100,2700.0,6.38
2024-10-15,603259,TAKE_PROFIT,51.92,100,5192.0,7.65
2024-10-15,002594,BUY,305.5,200,61100.0,15.89
2024-10-15,300750,BUY,249.81,200,49962.0,12.99
2024-10-16,002594,BUY,293.0,100,29300.0,7.62
2024-10-16,000333,BUY,74.7,800,59760.0,15.54
2024-10-17,000333,BUY,75.24,800,60192.0,15.65
2024-10-17,603259,BUY,49.3,800,39440.0,10.25
2024-10-18,603259,BUY,47.8,100,4780.0,5.05
2024-10-21,000725,BUY,4.19,200,838.0,5.01
2024-11-12,603259,TAKE_PROFIT,57.52,500,28760.0,21.86
2024-11-12,601318,BUY,58.4,400,23360.0,6.07
2024-11-13,603259,TAKE_PROFIT,57.57,200,11514.0,10.88
2024-11-13,600276,BUY,49.16,200,9832.0,5.1
2024-11-14,300750,TAKE_PROFIT,283.0,200,56600.0,43.02
2024-11-14,603259,BUY,56.19,1100,61809.0,16.07
2024-11-20,000001,BUY,11.67,100,1167.0,5.01
2024-11-25,002594,EXIT,283.0,600,169800.0,129.05
2024-11-25,000333,EXIT,70.11,1700,119187.0,90.58
